	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
love	-1.3579457	-1.2561533	0.21559551	-0.7213358	0.97573805	-0.22568811	0.755883	-0.9668913	0.25631934	1.0233967	0.40246964	0.07784405	0.9523211	1.0973535	0.56324506	0.94309545	-0.5289761	0.7484616	-0.54068434	-0.73041844	0.45779884	0.21607314	-0.5828965	1.3804492	-0.62903666	-0.048652485	-1.183939	-0.85093975	0.47482055	0.9088863	-0.3410018	-0.7978407	0.6383478	0.6790568	-0.30916315	0.37906373	0.58414924	0.7473844	-0.49550277	-0.6409639	-0.24425903	-0.104234494	1.1207156	-0.75977814	-0.03310384	-0.7323328	-1.1139121	-0.37511277	0.92762774	-1.2052405
someth	-0.83702433	-0.59122825	0.83472085	-0.7752527	0.87147015	0.021786897	-0.44888577	-0.484321	0.8661926	0.4412486	0.59776	0.4845286	0.81640077	1.534143	0.7496556	0.6281742	-0.8256333	1.0369358	-0.8619668	-0.74813277	0.4046641	-0.0024399436	-0.7206876	0.13107342	-0.050802957	-0.123971775	-1.0302955	-1.077671	0.9538635	0.3445073	0.171182	-0.7715883	0.437534	1.1353712	0.013327543	0.6642212	1.0026586	0.5705496	-0.89074606	-0.08992113	0.028998747	-0.25585765	0.38864034	-0.8827772	0.37745106	-0.97282004	-0.5702808	-0.8458499	0.1674443	-1.1250579
activ	-1.8049549	-1.5369583	0.021390151	-1.2703273	0.8236686	-0.17233858	-0.50836325	-1.1486397	1.3318388	0.23505016	0.07291	0.2914746	0.7277527	-0.40301043	0.43654123	1.0326121	-0.43945962	0.0558867	0.9368876	-1.5726933	-0.37933362	-0.56657016	-0.5848911	-0.77288055	-0.37920064	-0.7951919	-0.7341477	-0.623023	0.9386902	-1.1616055	-0.011444754	-1.8696564	0.12338403	0.79897827	-1.0907419	0.67350245	1.0706639	0.28511345	-0.31438193	0.009782523	1.1801844	-0.018080011	0.7286409	-1.7035773	-1.3243127	0.12863463	-0.8282732	-0.62840444	-0.72408354	-1.1367911
taken	-0.51787764	-0.9566879	0.97740066	-0.29923797	0.2475813	-0.22017485	0.7753702	-0.055216316	0.28010482	0.6592189	1.1355689	0.72917086	0.9284099	-0.32407796	0.7046803	1.3187727	-0.76307803	0.9040021	-1.0043874	-0.2808806	-0.57615757	0.39171538	-0.70144075	0.21128489	0.20228583	-0.7052268	-0.645228	-1.2279556	0.7008183	-0.6082107	0.1559695	-1.3027306	0.18839276	1.1655804	-0.4688968	0.5812626	0.97184443	0.6853899	-0.2689957	-0.06855013	0.9943104	0.5961841	-0.2766372	-0.6939434	-1.0177824	-1.405824	-0.10272728	-0.7799795	0.08586041	-0.558301
we	-1.0873585	-0.89434135	0.970634	-1.125613	1.219502	-0.2860275	-0.14816582	-1.178313	1.3424965	0.9470665	0.51911914	0.8890991	1.02513	0.83540976	1.4199919	0.97720635	-0.8985645	1.4024017	-0.8947937	-1.0893735	-0.0049662096	-0.48802614	-1.361382	0.66259736	-0.4551024	0.35687134	-1.0980397	-0.8006029	0.61229926	0.588215	-0.11493397	-1.2285793	0.053623915	0.9583993	0.31639162	1.3356285	1.3977492	0.7017966	-1.0146077	-0.20854771	0.15510403	-0.1821677	1.1135552	-1.0633502	0.25128102	-0.88063174	-0.7100606	-1.2996297	0.9893266	-1.3914979
few	-0.63520074	-0.31004956	0.75795126	-0.572598	-0.5787094	0.46510628	-0.1980261	-0.70340216	0.8458044	1.2777288	0.28683254	0.82101214	0.58812726	0.7528809	0.17831746	0.19728296	-0.9607977	0.0138791	-0.613138	-0.2934929	0.12703484	-0.31875575	-0.24043271	0.4567784	-0.4812569	0.081359595	-0.43965542	-0.3667662	1.0112599	-0.20407009	-0.45763174	-0.85327756	0.4974443	0.7087506	-0.2014016	0.7462317	0.8594836	0.66068923	-1.1751864	-0.05549355	0.316987	-0.33374763	-0.115445375	-0.54543966	-0.01835352	-0.87249327	-0.9472124	-0.63442975	0.324915	-0.72975403
kill	-1.3419356	-1.34179	0.9660078	-1.404901	0.41773808	-0.38908058	0.96298605	-0.64260674	0.8027483	1.0866177	0.09432009	1.2366052	1.206719	0.6862354	0.75271356	0.77980536	-1.4858398	1.1957076	-1.2807933	-1.1123885	-0.42938316	0.35279325	-1.2458558	1.4762747	-0.95910627	-0.6972929	-0.72499746	-1.345439	0.76796734	0.3730017	-0.36276302	-0.23687714	0.5868214	0.68726844	0.48596936	1.1016958	0.87231064	0.15128598	-0.95941323	-0.57301253	1.5232532	-0.32191056	0.23862694	-0.89947283	-0.93728495	-1.1962693	-1.0149083	-0.98650455	0.360258	-0.74744177
human	-0.24704775	-1.1139398	0.4626978	-0.5155729	1.1726623	-0.9443288	0.6424119	-0.46930176	0.65092176	0.81887555	-0.16300741	0.075609185	0.25185293	1.471875	0.83514965	0.71715117	-1.0898228	0.760515	-0.89159024	-0.48643228	-0.14964676	-0.13991156	-0.74344665	0.5058336	-1.1035318	0.06421215	-1.1426592	-0.83803016	0.38449517	1.1387911	-0.39075983	-1.0934381	-0.16025198	0.23555769	0.27671862	0.7772379	0.52224034	0.6233306	-0.902228	-0.103811085	-0.54359436	0.25318447	0.2706855	-0.69112575	-0.08103838	-0.40967685	-1.3491285	-0.59844506	-0.035875574	0.23268312
anoth	-1.0056565	-0.5916507	1.024242	-0.87465394	0.8291236	-0.35367918	0.37176	-0.85308796	0.9692312	0.7316324	0.18258369	0.39774582	1.2298557	0.6579659	0.6055037	1.349098	-0.82434916	0.8243391	-1.031158	-1.2364457	0.15174368	-0.018839475	-0.6462419	0.07960045	-0.3532194	-0.5171545	-0.7209213	-1.1468425	0.8021682	0.28433186	-0.01963538	-0.50508153	0.75061977	0.79747367	-0.06115582	0.8586714	0.710554	0.40991762	-0.7222418	-0.73129344	0.69259	-0.1496107	0.7097945	-1.5177374	-0.30768108	-0.9529708	-0.3808926	-1.0230348	0.12999693	-1.2351743
releas	-1.1020757	-0.7018211	1.3448827	0.30724436	0.32998934	-0.30328375	0.9306458	-0.22002867	-0.030838907	-0.14917776	1.5110152	0.45278454	1.3958406	0.10048325	-0.048300065	-0.44676623	-0.35311025	1.014544	-0.097251296	0.4727047	0.5374688	-0.48590577	-1.0447142	0.6902372	-0.742615	0.5107129	-2.1719937	-0.6268281	1.1292716	-0.28733185	0.34647602	-0.08796504	-0.67438143	1.6678509	-0.13413371	0.7122774	1.2878771	0.79030144	-1.2727873	0.09688911	1.2259498	1.0911089	-0.3990522	-0.54778445	-1.1528944	-0.59037125	-0.4087451	-1.4607339	-1.2424564	0.5662546
