	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
how	0.08213504	-1.1940253	1.0579236	-0.8844656	0.8375529	-0.03223326	-0.99307	1.1109669	-0.028215986	0.8497282	-0.102042064	-0.771363	-0.62805754	0.341942	1.1265095	0.1271874	1.0620389	-0.2338844	0.79939735	-1.0336152	0.257889	-0.94849837	0.79931825	-1.259871	0.018370423	-0.76837814	-0.6332263	-0.62826955	-0.9873754	0.17648754	-0.17882928	-0.84911865	-1.2140951	-0.12089184	0.28510588	-0.24712491	-0.43344325	-0.73194987	1.0283686	-1.0402782	-0.7805019	-0.9740468	-0.46510357	-0.8679125	0.94792163	0.90755737	0.85319316	0.079800904	-1.0637642	0.9396956
war	-0.42967325	-0.9244495	-0.07025078	-0.5363969	-0.24028562	0.17848502	-0.7039727	0.0615779	-0.5639603	0.8520645	-0.70757365	-0.39740148	-0.46633548	0.27179325	1.2624032	-0.18250011	1.2832224	-0.9514948	0.51413673	-1.5729231	-0.14909258	0.050762683	0.92122716	-0.7518028	0.022456065	-0.67263246	-0.95151865	-1.4234182	-0.3106894	0.5101125	1.0928941	-0.09942606	-1.1400433	0.065359175	0.87960863	-1.0002995	-1.1360116	-1.5562376	0.2925617	0.09167701	-1.0276763	-0.24661034	-0.6313806	-0.35407352	0.16286227	0.1463379	1.3510406	-0.078516096	0.000161767	-0.4294338
tri	0.35810864	-1.0165895	0.6154007	-0.9441556	0.80102265	0.034908175	-0.3397045	0.5201788	-0.07113779	1.0048283	0.4311105	-0.7995877	-0.8145269	0.5377242	0.51012784	0.038358282	0.866778	-0.10753724	0.48042497	-1.2149339	0.63012606	-0.08261894	0.607288	-1.1280105	0.26714554	-0.42428207	-0.96403825	-0.71288085	-0.72848725	-0.03299545	-0.13113123	0.13199441	-1.1648366	-0.48962152	0.3504728	0.0026671793	-0.7198287	-0.12849087	0.78170514	-0.75509983	-0.4000604	-0.594188	-0.39693832	-0.7979369	0.7272307	0.80606306	1.0292823	0.42624557	-1.019594	0.962348
theater	-1.488519	-0.14380771	0.20866245	-0.5209135	-0.2862511	0.2534191	0.13778734	1.2071719	-0.20429657	-0.2294159	0.5268	-0.5628711	-0.24375752	0.47790962	0.70110035	0.75848866	1.5101755	-0.1665474	0.6011022	-0.5647871	-0.8436068	-0.7697179	-1.1015182	0.7263016	-0.69826484	-1.3525146	-0.5157446	-1.3339341	-1.6983663	-0.6586443	-1.2106305	-0.6219294	-0.22757925	0.17526515	0.5211786	-1.5504036	-0.2740503	-0.92237437	0.052028082	-0.5221861	-0.18554984	-0.5565557	-0.4819131	-1.3033099	-0.60567534	0.04372639	0.13788205	-0.8744867	0.22664085	-0.12900531
male	0.11150168	-1.0148867	1.0143652	-0.2143195	-0.12807775	-0.05257733	-0.103548296	1.099523	0.4672563	0.06889541	-0.10723955	0.6070791	-0.2901147	1.2115722	0.28239962	0.5663806	1.2375234	-0.57189226	1.0988234	-0.43726766	-0.13158116	-0.49349725	1.6251873	-1.4684236	0.013753634	-1.557294	-0.5461588	-1.2049658	-0.7764803	0.18193477	-0.80792415	-0.6546377	0.9185872	0.22679645	0.29594207	-0.92460304	-1.9707549	-0.06940809	-0.4300413	-0.6276282	-1.1153202	-0.7119602	0.32574567	-0.489289	-0.021267893	0.4819461	0.30909663	-0.38654608	0.3445485	1.2225456
divis	-0.030779399	-0.23989232	-0.30494398	0.56178516	0.16865197	0.64649343	-1.0506766	0.753469	0.72048104	2.0359776	-1.1343632	-0.70701003	0.23591533	-0.5667775	-0.60345006	-0.22365016	0.26130748	-0.00081279874	0.34483138	-0.9626317	-0.033484653	-0.65900195	1.035141	-1.4085919	-0.1780197	-0.8568387	-1.1220735	-0.5787091	-0.11167091	-0.52013844	1.2330971	0.8578423	-0.5643859	0.19806248	-0.060322255	0.57780415	-0.4402744	-0.051569343	1.005397	-0.21146983	0.15359071	0.21062869	-0.32108724	-0.9376309	-0.7263898	-0.23896939	-0.8852128	-0.45760125	-0.8933257	-0.43621945
coverag	0.375414	-0.79188025	0.4243003	-0.20635474	1.1611423	0.95937276	-0.048842695	1.7650104	0.008969214	0.84098274	-0.9782747	-1.3470623	-0.22195655	0.25300968	-0.4958151	1.0494359	0.3808881	-0.78522164	0.63682944	-1.4927615	-0.088131905	-0.19213949	0.4473188	-0.8405489	0.4437503	-0.7556386	0.15237823	-0.36964056	-1.5084815	0.3038067	0.7435041	-0.40975273	-0.042582467	1.060184	-0.64957815	-0.96180683	0.029031016	0.76972246	0.9487077	-0.09804732	0.24947795	-1.5545686	0.6455128	-0.117951676	0.4070593	0.9537232	0.73691964	-0.057184696	-0.50542486	-0.122458205
happi	0.25077686	-0.18488619	0.2992339	-0.1813828	-0.20993397	-0.68249524	-1.0473248	1.4430368	-0.8612222	0.0837397	-0.43370903	-0.43370962	-0.00045207143	-0.2795182	0.5433545	-0.81319237	1.1307703	0.12596159	0.37523067	-0.57638377	-0.11857736	-0.34738374	0.5101288	-0.48089957	0.45883712	-1.8024657	-0.78256303	0.5096841	-0.5755738	-0.68425584	0.08264224	-0.40405604	-0.6717836	0.66194636	-0.429003	-0.33894908	-0.40007287	-0.028304666	1.2070822	-0.42562646	-0.7682308	0.12827514	-0.4879198	-0.49571234	0.6773115	-1.1088569	0.9068333	0.18585059	-0.6998265	0.65402186
unfold	-0.08337424	-1.742688	-0.54657406	-0.65963995	0.57777274	0.93718207	-0.41120225	0.39442748	1.4045154	-0.105572075	0.5477801	-0.75035733	0.27307105	0.40494612	-0.5157256	0.5799849	0.60804677	-0.37831268	-0.2057966	-1.1361408	1.0100564	-1.6824715	0.41865858	-0.466631	-0.05028406	0.35635898	0.16066572	0.16674419	-0.49804622	0.59458303	1.0361855	-0.39455247	-0.0993599	1.1423124	0.53635174	-0.77447164	0.4603437	0.4615745	0.26657474	0.0765593	-0.34467018	-1.034549	-1.2948732	-0.9414115	-0.7942252	-0.022271413	0.013247475	0.2627154	-0.6558186	0.205264
via	-1.1178446	-0.1815326	0.61256754	-0.93466353	1.0814234	0.6391543	-0.6376917	1.3881649	-0.06463271	-0.519672	0.18786031	-1.5139593	-0.703547	0.13205099	-0.6623427	-0.85357153	0.61627924	-1.4107449	0.5155527	-0.93742096	0.24616396	-0.7788509	0.45104033	-0.69940066	-0.7957084	-0.829044	-1.2964513	-0.9604864	-0.53638846	2.2363489	0.7943758	0.27357817	0.19416338	-0.747486	-0.0030892976	-0.5281904	-0.21711424	0.7743367	0.18832856	-1.1009697	-1.7114409	-0.288447	-0.58719754	-1.0000691	1.3330182	0.81156147	0.85413	0.050995655	-0.77813494	0.2040273
