year,polarization,label,kind,race
2018.5777777777778,0.0022585355919036293,Annapolis,between-topic,white
2016.6305555555555,0.0013861587194875288,Baton Rouge,between-topic,POC
2016.8138888888889,0.008132587620561576,Burlington,between-topic,POC
2015.6277777777777,0.0012791104672192203,Chattanooga,between-topic,POC
2015.9916666666666,0.0035271009074402345,Colorado Springs,between-topic,white
2016.6027777777779,0.0011230119024030424,Dallas,between-topic,POC
2017.3833333333334,0.005742732527577464,Fresno,between-topic,POC
2016.2222222222222,0.0034407592178932207,Kalamazoo,between-topic,white
2018.3944444444444,0.009147238563227616,Nashville,between-topic,white
2016.5333333333333,0.006490092254134127,Orlando,between-topic,POC
2018.2055555555555,0.0010706428430820834,Parkland,between-topic,white
2018.9083333333333,0.0021700732927738145,Pittsburgh,between-topic,white
2015.8361111111112,0.0013789287862343259,Roseburg,between-topic,POC
2016.0055555555555,0.004310931454263675,San Bernardino,between-topic,POC
2017.5388888888888,0.006998503682553429,San Francisco,between-topic,POC
2018.4666666666667,0.001738510912110648,Santa Fe,between-topic,white
2017.9305555555557,0.002063044971775271,Sutherland Springs,between-topic,white
2017.9194444444445,0.015463718646938738,Thornton,between-topic,white
2018.9361111111111,0.0015577543347771443,Thousand Oaks,between-topic,white
2017.8361111111112,0.0018410938094808645,Vegas,between-topic,white
2018.5777777777778,0.0019557140305151996,Annapolis,within-topic,white
2016.6305555555555,0.0012757336137401599,Baton Rouge,within-topic,POC
2016.8138888888889,0.005600560616873999,Burlington,within-topic,POC
2015.6277777777777,0.0024318324892920362,Chattanooga,within-topic,POC
2015.9916666666666,0.0016024102059452232,Colorado Springs,within-topic,white
2016.6027777777779,0.0009387691423180775,Dallas,within-topic,POC
2017.3833333333334,0.004539414930078417,Fresno,within-topic,POC
2016.2222222222222,0.0033308310778159818,Kalamazoo,within-topic,white
2018.3944444444444,0.0014001185741005717,Nashville,within-topic,white
2016.5333333333333,0.0011357165481331558,Orlando,within-topic,POC
2018.2055555555555,0.0009196395029394888,Parkland,within-topic,white
2018.9083333333333,0.0037925225037502143,Pittsburgh,within-topic,white
2015.8361111111112,0.0029992971656341936,Roseburg,within-topic,POC
2016.0055555555555,0.001366556367192946,San Bernardino,within-topic,POC
2017.5388888888888,0.0028294625602067825,San Francisco,within-topic,POC
2018.4666666666667,0.001176701035213606,Santa Fe,within-topic,white
2017.9305555555557,0.001665470112103197,Sutherland Springs,within-topic,white
2017.9194444444445,0.002499961895965372,Thornton,within-topic,white
2018.9361111111111,0.0020429559295571773,Thousand Oaks,within-topic,white
2017.8361111111112,0.000950867566485046,Vegas,within-topic,white
