event,leaveout,size,squared_diff,time
chattanooga,0.5295776539990968,7329.0,0.0003208234978542279,1.0
chattanooga,0.5321740679089038,2091.0,0.0009570452178771505,2.0
chattanooga,0.5275367111576764,847.0,0.0013851195667102245,3.0
chattanooga,0.5078351487852361,402.0,0.022062982297731515,4.0
chattanooga,0.547517696925682,422.0,0.006873002926183813,5.0
chattanooga,0.5233216334717927,579.0,0.010338137422131743,6.0
chattanooga,0.5026789153039385,227.0,0.018417242532077438,7.0
chattanooga,0.5730440252663026,278.0,0.008886214414789873,8.0
chattanooga,0.5537019403664794,260.0,0.01356446424410529,9.0
chattanooga,0.5446078678053505,63.0,0.07836581059645537,10.0
roseburg,0.5207407335233363,6817.0,0.00015843184341224337,1.0
roseburg,0.5226331219233873,558.0,0.014689046153473662,2.0
roseburg,0.5310592820992142,209.0,0.027426928684677887,3.0
roseburg,0.5332411409687687,121.0,0.0027008784014834752,4.0
roseburg,0.5417240259633749,236.0,0.00830189038924578,5.0
roseburg,0.5235674376218962,214.0,0.006110595813481612,6.0
roseburg,0.5569616019140061,239.0,0.015180274214719569,7.0
roseburg,0.5476919474253474,143.0,0.011552600287785264,8.0
roseburg,0.5514213061615955,321.0,0.0003517716834678941,9.0
roseburg,0.5,44.0,0.0,10.0
colorado_springs,0.5367571978396641,15699.0,0.000490735575368384,1.0
colorado_springs,0.5314282528027505,2671.0,0.0008487123463841728,2.0
colorado_springs,0.5418369523843736,1362.0,0.001525402988584501,3.0
colorado_springs,0.535411588211161,977.0,0.0014105089128385595,4.0
colorado_springs,0.5362480777133173,452.0,0.01266118225272167,5.0
colorado_springs,0.5356637191243221,1614.0,0.0056569198515765695,6.0
colorado_springs,0.5321746699592018,829.0,0.004947792544565677,7.0
colorado_springs,0.522775817946627,452.0,0.0028831735259051694,8.0
colorado_springs,0.5465494508022044,199.0,0.01377351177531283,9.0
colorado_springs,0.5273954172340285,220.0,0.012374372532670708,10.0
san_bernardino,0.5262452306978432,15326.0,0.0007368696242197048,1.0
san_bernardino,0.5292659200336134,3948.0,0.00238869880824244,2.0
san_bernardino,0.538958812609585,2713.0,0.0013068563096767516,3.0
san_bernardino,0.5477389686058395,752.0,0.004953214218932134,4.0
san_bernardino,0.5279952751331192,835.0,0.004472570181714097,5.0
san_bernardino,0.545879820534444,546.0,0.008559759818493773,6.0
san_bernardino,0.5187166275853419,393.0,0.004460919033020039,7.0
san_bernardino,0.5272725318698988,382.0,0.005081626813768225,8.0
san_bernardino,0.5406288083948011,268.0,0.026305502375863266,9.0
san_bernardino,0.583797764518126,156.0,0.03504043364547682,10.0
kalamazoo,0.5164203173416395,4516.0,2.550796618727702e-05,1.0
kalamazoo,0.5134996298408228,924.0,0.0021782925067170833,2.0
kalamazoo,0.5320767741323909,297.0,0.005749294300821439,3.0
kalamazoo,0.5285077609362113,57.0,0.0034453263885669827,4.0
kalamazoo,0.5,0.0,0.0,5.0
kalamazoo,0.5,0.0,0.0,6.0
kalamazoo,0.5,0.0,0.0,7.0
kalamazoo,0.5,0.0,0.0,8.0
kalamazoo,0.5,0.0,0.0,9.0
kalamazoo,0.5,0.0,0.0,10.0
orlando,0.5351844864477275,148334.0,8.299787578680551e-05,1.0
orlando,0.5360837478044242,56568.0,0.00014535149926730995,2.0
orlando,0.5421502411780501,31177.0,3.899228159576218e-05,3.0
orlando,0.5525896591600252,17919.0,6.0561358949273725e-05,4.0
orlando,0.5551155573677962,11734.0,0.00022616172048817162,5.0
orlando,0.5487698095720619,9415.0,0.0011209533554424889,6.0
orlando,0.5465349505445009,4204.0,0.0008370400641103393,7.0
orlando,0.5511019192374812,3066.0,0.0004880655045341742,8.0
orlando,0.6056042468605528,6034.0,0.0013831816883033698,9.0
orlando,0.5795954371728103,3761.0,0.002463333847517457,10.0
dallas,0.5236648050374748,75450.0,0.0001439617604622745,1.0
dallas,0.5265818134533926,12119.0,0.0011224988471288944,2.0
dallas,0.5306427247988732,3651.0,0.002199909369042241,3.0
dallas,0.5333611200944042,2240.0,0.0023550359336861337,4.0
dallas,0.5301919716222394,1820.0,0.002027716698085935,5.0
dallas,0.5368547058995122,1852.0,0.0031108740024279324,6.0
dallas,0.5236765675712528,651.0,0.0036058065428283825,7.0
dallas,0.5179690817931333,660.0,0.0013187333133234946,8.0
dallas,0.5058138442670006,394.0,0.009579312204068602,9.0
dallas,0.5291398069449864,657.0,0.003441202621615569,10.0
baton_rouge,0.5232537026175914,22002.0,0.00011222599395621646,1.0
baton_rouge,0.5263924450663733,2280.0,0.0024757211603472218,2.0
baton_rouge,0.5463794132284381,161.0,0.006949391320722975,3.0
baton_rouge,0.5266663987041542,156.0,0.014314254637333268,4.0
baton_rouge,0.5,74.0,0.0,5.0
baton_rouge,0.5559499792319108,101.0,0.00323199193741619,6.0
baton_rouge,0.5,92.0,0.0,7.0
baton_rouge,0.5,59.0,0.0,8.0
baton_rouge,0.5,45.0,0.0,9.0
baton_rouge,0.5,43.0,0.0,10.0
burlington,0.513917233013204,2370.0,0.0004701781805264149,1.0
burlington,0.5704450920895201,943.0,1.6973928490648937e-05,2.0
burlington,0.6019390802615558,137.0,0.021409009986232963,3.0
burlington,0.5,67.0,0.0,4.0
burlington,0.5,51.0,0.0,5.0
burlington,0.5,101.0,0.0,6.0
burlington,0.5,58.0,0.0,7.0
burlington,0.5,31.0,0.0,8.0
burlington,0.5,17.0,0.0,9.0
burlington,0.5,11.0,0.0,10.0
fort_lauderdale,0.5094068845066269,7194.0,0.0001341185713000792,1.0
fort_lauderdale,0.5,0.0,0.0,2.0
fort_lauderdale,0.5,0.0,0.0,3.0
fort_lauderdale,0.5,0.0,0.0,4.0
fort_lauderdale,0.5,0.0,0.0,5.0
fort_lauderdale,0.5,0.0,0.0,6.0
fort_lauderdale,0.5,0.0,0.0,7.0
fort_lauderdale,0.5,0.0,0.0,8.0
fort_lauderdale,0.5,0.0,0.0,9.0
