event,leaveout,size,squared_diff,time
Chattanooga,0.5291053771337935,10479.0,0.0002196370430461725,1.0
Chattanooga,0.530786110715916,3826.0,0.00033848691950300047,2.0
Chattanooga,0.520674210256911,1618.0,0.0031195808527212376,3.0
Chattanooga,0.5167214493931634,737.0,0.01052128256430751,4.0
Chattanooga,0.5331530156859436,764.0,0.0066112010053615555,5.0
Chattanooga,0.5271431989232993,1029.0,0.0037748181351538457,6.0
Chattanooga,0.5244407403399799,553.0,0.005225314730649133,7.0
Chattanooga,0.5677495705928548,404.0,0.011989539421200235,8.0
Chattanooga,0.5531026832400807,382.0,0.0005889407399249924,9.0
Chattanooga,0.562423884560038,93.0,0.00944554997723357,10.0
Roseburg,0.5215175013908611,7895.0,5.956846013666084e-05,1.0
Roseburg,0.5201598533515405,919.0,0.0003318539888791383,2.0
Roseburg,0.5282292748511254,348.0,0.004273635209930848,3.0
Roseburg,0.4874579709808804,205.0,0.005357017904665695,4.0
Roseburg,0.5493282348725597,391.0,0.006150029255976186,5.0
Roseburg,0.5387676275195497,389.0,0.004521273201627096,6.0
Roseburg,0.5513266787144816,327.0,0.013028704599333696,7.0
Roseburg,0.5439425674337016,252.0,0.006211244786612835,8.0
Roseburg,0.545353963459455,567.0,0.006213933370884217,9.0
Roseburg,0.5,70.0,0.0,10.0
Colorado Springs,0.5380981987055782,21678.0,0.0002143546100237259,1.0
Colorado Springs,0.5320958568305312,4858.0,0.0010384236399563207,2.0
Colorado Springs,0.5401415235744764,2625.0,0.004202130765265544,3.0
Colorado Springs,0.5358831656318812,1784.0,0.0010673968668883926,4.0
Colorado Springs,0.5340534020436996,813.0,0.0006271608055334887,5.0
Colorado Springs,0.5358509956413282,2527.0,0.0003435847879020848,6.0
Colorado Springs,0.5386129834692495,1318.0,0.004026672515158036,7.0
Colorado Springs,0.5225615578310571,781.0,0.0012395988982252248,8.0
Colorado Springs,0.5466803494520202,359.0,0.0065795356205001765,9.0
Colorado Springs,0.5388303062992609,388.0,0.006466693042141924,10.0
San Bernardino,0.5253633653136215,22072.0,0.0002644831104842149,1.0
San Bernardino,0.5290927912889241,7939.0,0.0007532418689712439,2.0
San Bernardino,0.5320643555942638,5378.0,0.0009565578210916081,3.0
San Bernardino,0.5356954592771501,1536.0,0.0018980505681317483,4.0
San Bernardino,0.5283397541887969,1599.0,0.0003158955035650335,5.0
San Bernardino,0.5376105971382259,1258.0,0.0045368450301737084,6.0
San Bernardino,0.5236218742540449,775.0,0.00572316562897679,7.0
San Bernardino,0.5220450618614664,801.0,0.008269450086464847,8.0
San Bernardino,0.5313078900425545,619.0,0.008970890596735781,9.0
San Bernardino,0.5418771732900146,356.0,0.009238686696694254,10.0
Kalamazoo,0.5185887319472311,5038.0,0.001021583571583884,1.0
Kalamazoo,0.5214982102467307,1259.0,0.00035200945587532395,2.0
Kalamazoo,0.5232784466259044,416.0,0.000851417626649642,3.0
Kalamazoo,0.4851062970222084,93.0,0.020117444196690926,4.0
Kalamazoo,0.5,0.0,0.0,5.0
Kalamazoo,0.5,0.0,0.0,6.0
Kalamazoo,0.5,0.0,0.0,7.0
Kalamazoo,0.5,0.0,0.0,8.0
Kalamazoo,0.5,0.0,0.0,9.0
Kalamazoo,0.5,0.0,0.0,10.0
Orlando,0.5429145639035005,284949.0,6.031089457381178e-05,1.0
Orlando,0.5468623282148175,172184.0,0.00015770852427443582,2.0
Orlando,0.5515533040839371,111260.0,0.00010733303136756245,3.0
Orlando,0.5627420542213857,66915.0,0.00018733764929446117,4.0
Orlando,0.567328079833821,50794.0,0.00041076625185287874,5.0
Orlando,0.5715710167051887,36078.0,0.00051868977945424,6.0
Orlando,0.5639680312568782,20604.0,0.00035780897018433677,7.0
Orlando,0.5767514614598931,16192.0,0.0019698544325092993,8.0
Orlando,0.5987702332259265,29822.0,0.0004506025771490174,9.0
Orlando,0.5907391480616044,17001.0,0.0001689508954176855,10.0
Dallas,0.5240743411755536,93891.0,0.00016123046614674452,1.0
Dallas,0.528193309528307,20304.0,0.0002076272954528724,2.0
Dallas,0.5333923762448399,7348.0,0.0001570299812275744,3.0
Dallas,0.5344401591924495,4996.0,0.0005429670575016754,4.0
Dallas,0.5322754630069462,3994.0,0.0003875878003294364,5.0
Dallas,0.5354205124188216,3916.0,0.002610494108437722,6.0
Dallas,0.5297049346783309,1245.0,0.007657685918341484,7.0
Dallas,0.5170709417363858,1164.0,0.0009690372467857644,8.0
Dallas,0.5155519690386753,676.0,0.0018310990531141824,9.0
Dallas,0.5333303480266521,1253.0,0.0027888110490876805,10.0
Baton Rouge,0.5229721884300842,24399.0,1.328846320425292e-05,1.0
Baton Rouge,0.5237765775466328,3454.0,0.00023981740887357716,2.0
Baton Rouge,0.5426573559653308,303.0,0.014156846896324793,3.0
Baton Rouge,0.5213781142187726,240.0,0.005084465126645288,4.0
Baton Rouge,0.541979463371929,65.0,0.0007827465388310362,5.0
Baton Rouge,0.5201982341463277,151.0,0.023760212591678764,6.0
Baton Rouge,0.4259647781147294,52.0,0.03395029071887978,7.0
Baton Rouge,0.5,71.0,0.0,8.0
Baton Rouge,0.5,57.0,0.0,9.0
Baton Rouge,0.5,49.0,0.0,10.0
Burlington,0.5161513788845307,2987.0,0.00242936109250258,1.0
Burlington,0.5723293447964819,1332.0,0.001709320777417589,2.0
Burlington,0.5862529496406168,252.0,0.006139368206963813,3.0
Burlington,0.598041228827524,72.0,0.01701103841723972,4.0
Burlington,0.5,64.0,0.0,5.0
Burlington,0.6848929436913676,140.0,0.009636271853616152,6.0
Burlington,0.5,66.0,0.0,7.0
Burlington,0.5,35.0,0.0,8.0
Burlington,0.5,20.0,0.0,9.0
Burlington,0.5,15.0,0.0,10.0
Fort Lauderdale,0.5094068845066269,7194.0,0.0002648472286315151,1.0
Fort Lauderdale,0.5,0.0,0.0,2.0
Fort Lauderdale,0.5,0.0,0.0,3.0
Fort Lauderdale,0.5,0.0,0.0,4.0
Fort Lauderdale,0.5,0.0,0.0,5.0
Fort Lauderdale,0.5,0.0,0.0,6.0
Fort Lauderdale,0.5,0.0,0.0,7.0
Fort Lauderdale,0.5,0.0,0.0,8.0
Fort Lauderdale,0.5,0.0,0.0,9.0
Fort Lauderdale,0.5,0.0,0.0,10.0
Fresno,0.5336499070987478,4546.0,0.000799142759881577,1.0
Fresno,0.5477262245377117,830.0,0.008558280392613693,2.0
Fresno,0.5518918670352937,246.0,0.006552446821474489,3.0
Fresno,0.5522729982276443,142.0,0.005392017180551378,4.0
Fresno,0.5,65.0,0.0,5.0
Fresno,0.5,70.0,0.0,6.0
Fresno,0.5,44.0,0.0,7.0
Fresno,0.5,37.0,0.0,8.0
Fresno,0.5,58.0,0.0,9.0
Fresno,0.5,23.0,0.0,10.0
San Francisco,0.5312571117596965,5156.0,0.0011249814966843852,1.0
San Francisco,0.5364191367876351,443.0,0.0032352114636233775,2.0
San Francisco,0.5510823988364302,131.0,0.0006933711474556015,3.0
San Francisco,0.5356420591144051,63.0,0.03880977413790099,4.0
San Francisco,0.5,45.0,0.0,5.0
San Francisco,0.5,75.0,0.0,6.0
San Francisco,0.5,50.0,0.0,7.0
