year,polarization,label,kind,race
2018.5777777777778,26.83593497881602,Annapolis,between-topic,white
2016.6305555555555,27.282774888392428,Baton Rouge,between-topic,POC
2016.8138888888889,23.553081501762758,Burlington,between-topic,POC
2015.6277777777777,11.117978565351402,Chattanooga,between-topic,POC
2015.9916666666666,68.07837172405706,Colorado Springs,between-topic,white
2016.6027777777779,98.00831930308664,Dallas,between-topic,POC
2017.3833333333334,12.725628531969107,Fresno,between-topic,POC
2016.2222222222222,15.46743031308447,Kalamazoo,between-topic,white
2018.3944444444444,149.0404346559376,Nashville,between-topic,white
2016.5333333333333,2242.4537126055056,Orlando,between-topic,POC
2018.2055555555555,102.80940804789444,Parkland,between-topic,white
2018.9083333333333,44.44360946746328,Pittsburgh,between-topic,white
2015.8361111111112,11.682074721497287,Roseburg,between-topic,POC
2016.0055555555555,124.73364167324797,San Bernardino,between-topic,POC
2017.5388888888888,37.321368473532594,San Francisco,between-topic,POC
2018.4666666666667,46.636986967292295,Santa Fe,between-topic,white
2017.9305555555557,153.90601653004242,Sutherland Springs,between-topic,white
2017.9194444444445,101.10303651220467,Thornton,between-topic,white
2018.9361111111111,62.370323853236485,Thousand Oaks,between-topic,white
2017.8361111111112,616.6670993845698,Vegas,between-topic,white
2018.5777777777778,3.662120424560139,Annapolis,within-topic,white
2016.6305555555555,4.767869409586279,Baton Rouge,within-topic,POC
2016.8138888888889,2.690382505998593,Burlington,within-topic,POC
2015.6277777777777,4.861871831715988,Chattanooga,within-topic,POC
2015.9916666666666,8.67983669238725,Colorado Springs,within-topic,white
2016.6027777777779,23.4613161792786,Dallas,within-topic,POC
2017.3833333333334,3.617483810627988,Fresno,within-topic,POC
2016.2222222222222,2.629731286050773,Kalamazoo,within-topic,white
2018.3944444444444,5.914489152070666,Nashville,within-topic,white
2016.5333333333333,85.90505631099596,Orlando,within-topic,POC
2018.2055555555555,28.889629570472962,Parkland,within-topic,white
2018.9083333333333,20.898064417079333,Pittsburgh,within-topic,white
2015.8361111111112,4.991145122060737,Roseburg,within-topic,POC
2016.0055555555555,7.564451341841633,San Bernardino,within-topic,POC
2017.5388888888888,3.293576839468276,San Francisco,within-topic,POC
2018.4666666666667,7.128789129523138,Santa Fe,within-topic,white
2017.9305555555557,28.32393068009271,Sutherland Springs,within-topic,white
2017.9194444444445,3.6032997237488797,Thornton,within-topic,white
2018.9361111111111,27.793232857914347,Thousand Oaks,within-topic,white
2017.8361111111112,63.45509112969122,Vegas,within-topic,white
