year,polarization,label,kind,race
2018.5777777777778,26.820031529641632,Annapolis,between-topic,white
2016.6305555555555,27.268871798477083,Baton Rouge,between-topic,POC
2016.8138888888889,23.482795805057165,Burlington,between-topic,POC
2015.6277777777777,11.110898757341234,Chattanooga,between-topic,POC
2015.9916666666666,68.05566970428444,Colorado Springs,between-topic,white
2016.6027777777779,97.99828141429364,Dallas,between-topic,POC
2017.3833333333334,12.688125672347663,Fresno,between-topic,POC
2016.2222222222222,15.448692854560582,Kalamazoo,between-topic,white
2018.3944444444444,149.00512359673897,Nashville,between-topic,white
2016.5333333333333,2242.4188538483004,Orlando,between-topic,POC
2018.2055555555555,102.79916326839032,Parkland,between-topic,white
2018.9083333333333,44.43417556543802,Pittsburgh,between-topic,white
2015.8361111111112,11.671620110412945,Roseburg,between-topic,POC
2016.0055555555555,124.7119672524014,San Bernardino,between-topic,POC
2017.5388888888888,37.292684318902886,San Francisco,between-topic,POC
2018.4666666666667,46.62742399728563,Santa Fe,between-topic,white
2017.9305555555557,153.89047043192124,Sutherland Springs,between-topic,white
2017.9194444444445,101.04799400687406,Thornton,between-topic,white
2018.9361111111111,62.36319620459659,Thousand Oaks,between-topic,white
2017.8361111111112,616.6566163537525,Vegas,between-topic,white
2018.5777777777778,3.6128967199761917,Annapolis,within-topic,white
2016.6305555555555,4.7177021075872645,Baton Rouge,within-topic,POC
2016.8138888888889,2.620300551112987,Burlington,within-topic,POC
2015.6277777777777,4.7909876516372325,Chattanooga,within-topic,POC
2015.9916666666666,8.621885789082008,Colorado Springs,within-topic,white
2016.6027777777779,23.410358171557323,Dallas,within-topic,POC
2017.3833333333334,3.5503505531794914,Fresno,within-topic,POC
2016.2222222222222,2.5810377091578616,Kalamazoo,within-topic,white
2018.3944444444444,5.876693796429923,Nashville,within-topic,white
2016.5333333333333,85.81734337786195,Orlando,within-topic,POC
2018.2055555555555,28.82295579139059,Parkland,within-topic,white
2018.9083333333333,20.804037257113418,Pittsburgh,within-topic,white
2015.8361111111112,4.938684191878074,Roseburg,within-topic,POC
2016.0055555555555,7.511115649731499,San Bernardino,within-topic,POC
2017.5388888888888,3.229229770797169,San Francisco,within-topic,POC
2018.4666666666667,7.077804607363476,Santa Fe,within-topic,white
2017.9305555555557,28.25003675712302,Sutherland Springs,within-topic,white
2017.9194444444445,3.5550280328803097,Thornton,within-topic,white
2018.9361111111111,27.696744031325192,Thousand Oaks,within-topic,white
2017.8361111111112,63.37230395804046,Vegas,within-topic,white
