year,polarization,label,kind,race
2018.5777777777778,0.0025649442286372875,Annapolis,between-topic,white
2016.6305555555555,0.0014348903823201559,Baton Rouge,between-topic,POC
2016.8138888888889,0.008193995448550553,Burlington,between-topic,POC
2015.6277777777777,0.0012057958928189724,Chattanooga,between-topic,POC
2015.9916666666666,0.004176905667856745,Colorado Springs,between-topic,white
2016.6027777777779,0.001010262951079512,Dallas,between-topic,POC
2017.3833333333334,0.005754760511544426,Fresno,between-topic,POC
2016.2222222222222,0.004357980923689394,Kalamazoo,between-topic,white
2018.3944444444444,0.010084852363973053,Nashville,between-topic,white
2016.5333333333333,0.007102344524476634,Orlando,between-topic,POC
2018.2055555555555,0.0011663326413415298,Parkland,between-topic,white
2018.9083333333333,0.0021940500859301704,Pittsburgh,between-topic,white
2015.8361111111112,0.0014443329674139883,Roseburg,between-topic,POC
2016.0055555555555,0.004469344663687967,San Bernardino,between-topic,POC
2017.5388888888888,0.009052967615972152,San Francisco,between-topic,POC
2018.4666666666667,0.0018794728122072087,Santa Fe,between-topic,white
2017.9305555555557,0.002064109286871846,Sutherland Springs,between-topic,white
2017.9194444444445,0.016431470456792954,Thornton,between-topic,white
2018.9361111111111,0.001880103551087657,Thousand Oaks,between-topic,white
2017.8361111111112,0.001709596744739657,Vegas,between-topic,white
2018.5777777777778,0.0022926539593763322,Annapolis,within-topic,white
2016.6305555555555,0.0014635254278288544,Baton Rouge,within-topic,POC
2016.8138888888889,0.008527718837728621,Burlington,within-topic,POC
2015.6277777777777,0.003138029622132323,Chattanooga,within-topic,POC
2015.9916666666666,0.0020052928955208754,Colorado Springs,within-topic,white
2016.6027777777779,0.0009668483070193352,Dallas,within-topic,POC
2017.3833333333334,0.007084511298951459,Fresno,within-topic,POC
2016.2222222222222,0.004176708292803139,Kalamazoo,within-topic,white
2018.3944444444444,0.0017434168748395496,Nashville,within-topic,white
2016.5333333333333,0.0012956379478945995,Orlando,within-topic,POC
2018.2055555555555,0.0010676979803492291,Parkland,within-topic,white
2018.9083333333333,0.003452899331684846,Pittsburgh,within-topic,white
2015.8361111111112,0.0032182090552323587,Roseburg,within-topic,POC
2016.0055555555555,0.0014911376916118555,San Bernardino,within-topic,POC
2017.5388888888888,0.003839025519508162,San Francisco,within-topic,POC
2018.4666666666667,0.0013471228731623535,Santa Fe,within-topic,white
2017.9305555555557,0.0018049486586268824,Sutherland Springs,within-topic,white
2017.9194444444445,0.0031604568461586283,Thornton,within-topic,white
2018.9361111111111,0.0025466392379072714,Thousand Oaks,within-topic,white
2017.8361111111112,0.001106417988083267,Vegas,within-topic,white
