year,polarization,label,kind,race
2018.5777777777778,0.5080880001093693,Annapolis,between-topic,white
2016.6305555555555,0.5074807395240337,Baton Rouge,between-topic,POC
2016.8138888888889,0.5343870060834456,Burlington,between-topic,POC
2015.6277777777777,0.5041566244976159,Chattanooga,between-topic,POC
2015.9916666666666,0.5119281567793603,Colorado Springs,between-topic,white
2016.6027777777779,0.5057330259839432,Dallas,between-topic,POC
2017.3833333333334,0.5220387688188095,Fresno,between-topic,POC
2016.2222222222222,0.5132033076395751,Kalamazoo,between-topic,white
2018.3944444444444,0.51919073457358,Nashville,between-topic,white
2016.5333333333333,0.5213037841856143,Orlando,between-topic,POC
2018.2055555555555,0.5061107641469221,Parkland,between-topic,white
2018.9083333333333,0.5055645599541685,Pittsburgh,between-topic,white
2015.8361111111112,0.506351950617269,Roseburg,between-topic,POC
2016.0055555555555,0.5122081524015502,San Bernardino,between-topic,POC
2017.5388888888888,0.5163363583416674,San Francisco,between-topic,POC
2018.4666666666667,0.5066570796324961,Santa Fe,between-topic,white
2017.9305555555557,0.508441479682148,Sutherland Springs,between-topic,white
2017.9194444444445,0.528704339348979,Thornton,between-topic,white
2018.9361111111111,0.5035064915361592,Thousand Oaks,between-topic,white
2017.8361111111112,0.5074400724798995,Vegas,between-topic,white
2018.5777777777778,0.5423604737523181,Annapolis,within-topic,white
2016.6305555555555,0.5416329334641822,Baton Rouge,within-topic,POC
2016.8138888888889,0.5654185203477943,Burlington,within-topic,POC
2015.6277777777777,0.5604743909330638,Chattanooga,within-topic,POC
2015.9916666666666,0.5448905344356291,Colorado Springs,within-topic,white
2016.6027777777779,0.5367744901713105,Dallas,within-topic,POC
2017.3833333333334,0.5638256648006439,Fresno,within-topic,POC
2016.2222222222222,0.553457895219266,Kalamazoo,within-topic,white
2018.3944444444444,0.5318924018838775,Nashville,within-topic,white
2016.5333333333333,0.5563444998136734,Orlando,within-topic,POC
2018.2055555555555,0.5437512710853211,Parkland,within-topic,white
2018.9083333333333,0.5639650408560851,Pittsburgh,within-topic,white
2015.8361111111112,0.5473168160366184,Roseburg,within-topic,POC
2016.0055555555555,0.5430371715964115,San Bernardino,within-topic,POC
2017.5388888888888,0.5586973966600935,San Francisco,within-topic,POC
2018.4666666666667,0.5406472509782345,Santa Fe,within-topic,white
2017.9305555555557,0.5475448031378461,Sutherland Springs,within-topic,white
2017.9194444444445,0.5499415560341936,Thornton,within-topic,white
2018.9361111111111,0.560994473156529,Thousand Oaks,within-topic,white
2017.8361111111112,0.551542171559945,Vegas,within-topic,white
