year,polarization,label,kind,race
2018.5777777777778,0.507721176756533,Annapolis,between-topic,white
2016.6305555555555,0.5072937981110586,Baton Rouge,between-topic,POC
2016.8138888888889,0.5332239512292812,Burlington,between-topic,POC
2015.6277777777777,0.5037805777373499,Chattanooga,between-topic,POC
2015.9916666666666,0.5117321889319906,Colorado Springs,between-topic,white
2016.6027777777779,0.5056985453051013,Dallas,between-topic,POC
2017.3833333333334,0.5203759585006017,Fresno,between-topic,POC
2016.2222222222222,0.5121958137530276,Kalamazoo,between-topic,white
2018.3944444444444,0.518952181014721,Nashville,between-topic,white
2016.5333333333333,0.5212963344356989,Orlando,between-topic,POC
2018.2055555555555,0.5060768430430576,Parkland,between-topic,white
2018.9083333333333,0.5053926151928188,Pittsburgh,between-topic,white
2015.8361111111112,0.5059061196244306,Roseburg,between-topic,POC
2016.0055555555555,0.5120919950362204,San Bernardino,between-topic,POC
2017.5388888888888,0.5153628254817844,San Francisco,between-topic,POC
2018.4666666666667,0.5065109382131388,Santa Fe,between-topic,white
2017.9305555555557,0.5083959990966842,Sutherland Springs,between-topic,white
2017.9194444444445,0.5280558564430662,Thornton,between-topic,white
2018.9361111111111,0.5033957034591582,Thousand Oaks,between-topic,white
2017.8361111111112,0.5074327336649556,Vegas,between-topic,white
2018.5777777777778,0.5205759944906669,Annapolis,within-topic,white
2016.6305555555555,0.5223100561285053,Baton Rouge,within-topic,POC
2016.8138888888889,0.5316104897264267,Burlington,within-topic,POC
2015.6277777777777,0.5305020555513017,Chattanooga,within-topic,POC
2015.9916666666666,0.527248126553361,Colorado Springs,within-topic,white
2016.6027777777779,0.5244028542678246,Dallas,within-topic,POC
2017.3833333333334,0.5294894544511495,Fresno,within-topic,POC
2016.2222222222222,0.5196132425542235,Kalamazoo,within-topic,white
2018.3944444444444,0.5166185623280704,Nashville,within-topic,white
2016.5333333333333,0.545397094362157,Orlando,within-topic,POC
2018.2055555555555,0.5321509463556798,Parkland,within-topic,white
2018.9083333333333,0.5474128941055793,Pittsburgh,within-topic,white
2015.8361111111112,0.5233869365014263,Roseburg,within-topic,POC
2016.0055555555555,0.5245607957950421,San Bernardino,within-topic,POC
2017.5388888888888,0.5273816128020183,San Francisco,within-topic,POC
2018.4666666666667,0.5230273096570783,Santa Fe,within-topic,white
2017.9305555555557,0.5357671456339471,Sutherland Springs,within-topic,white
2017.9194444444445,0.5205353483822188,Thornton,within-topic,white
2018.9361111111111,0.5462814171554072,Thousand Oaks,within-topic,white
2017.8361111111112,0.5411469046656283,Vegas,within-topic,white
