year,polarization,label,kind,race
2018.5777777777778,0.5064492552280885,Annapolis,between-topic,white
2016.6305555555555,0.5036389375514649,Baton Rouge,between-topic,POC
2016.8138888888889,0.5374577354082511,Burlington,between-topic,POC
2015.6277777777777,0.5033521484885621,Chattanooga,between-topic,POC
2015.9916666666666,0.5080251244093965,Colorado Springs,between-topic,white
2016.6027777777779,0.5033308811809939,Dallas,between-topic,POC
2017.3833333333334,0.5187300228829701,Fresno,between-topic,POC
2016.2222222222222,0.5074488671437594,Kalamazoo,between-topic,white
2018.3944444444444,0.5147938754838289,Nashville,between-topic,white
2016.5333333333333,0.5132708448758351,Orlando,between-topic,POC
2018.2055555555555,0.5043644090355482,Parkland,between-topic,white
2018.9083333333333,0.5031946453432533,Pittsburgh,between-topic,white
2015.8361111111112,0.5051849835199337,Roseburg,between-topic,POC
2016.0055555555555,0.5095405302267155,San Bernardino,between-topic,POC
2017.5388888888888,0.5112465268117624,San Francisco,between-topic,POC
2018.4666666666667,0.5036109615314538,Santa Fe,between-topic,white
2017.9305555555557,0.5052963000940609,Sutherland Springs,between-topic,white
2017.9194444444445,0.519972073620258,Thornton,between-topic,white
2018.9361111111111,0.5065312979187699,Thousand Oaks,between-topic,white
2017.8361111111112,0.5048830518050476,Vegas,between-topic,white
2018.5777777777778,0.5216497723401833,Annapolis,within-topic,white
2016.6305555555555,0.5219107531398974,Baton Rouge,within-topic,POC
2016.8138888888889,0.526112916575156,Burlington,within-topic,POC
2015.6277777777777,0.531164659218483,Chattanooga,within-topic,POC
2015.9916666666666,0.5299790151273683,Colorado Springs,within-topic,white
2016.6027777777779,0.5246923463961666,Dallas,within-topic,POC
2017.3833333333334,0.528613937639548,Fresno,within-topic,POC
2016.2222222222222,0.5132312528460742,Kalamazoo,within-topic,white
2018.3944444444444,0.5160274693548663,Nashville,within-topic,white
2016.5333333333333,0.5451268849932561,Orlando,within-topic,POC
2018.2055555555555,0.533843729035626,Parkland,within-topic,white
2018.9083333333333,0.5500691528100012,Pittsburgh,within-topic,white
2015.8361111111112,0.5232074361654383,Roseburg,within-topic,POC
2016.0055555555555,0.5248398357146291,San Bernardino,within-topic,POC
2017.5388888888888,0.5253600012184264,San Francisco,within-topic,POC
2018.4666666666667,0.5236475170483514,Santa Fe,within-topic,white
2017.9305555555557,0.5350433136753204,Sutherland Springs,within-topic,white
2017.9194444444445,0.5209477272156285,Thornton,within-topic,white
2018.9361111111111,0.5453028139956739,Thousand Oaks,within-topic,white
2017.8361111111112,0.5406080199703514,Vegas,within-topic,white
